optimizer,alpha,beta,train_loss,test_loss,test_accuracy
SGD,,,0.10054034349123638,0.10900260920524597,0.9678
ElasticOptim,0.01,0.1,1.8780842824935913,1.8693489152908325,0.5904
ElasticOptim,0.01,1.0,1.8936872671127318,1.8850766515731812,0.4738
ElasticOptim,0.01,5.0,1.860393014717102,1.850780804824829,0.4468
ElasticOptim,0.01,10.0,1.8032630631128947,1.7925019702911378,0.614
ElasticOptim,0.05,0.1,0.941381505203247,0.9220263184547425,0.7911
ElasticOptim,0.05,1.0,0.9395787249247233,0.9215243535995483,0.8039
ElasticOptim,0.05,5.0,0.9131112843513489,0.8909660070419312,0.8169
ElasticOptim,0.05,10.0,0.8572625942548115,0.8376472381591797,0.8605
ElasticOptim,0.1,0.1,0.43032986143430074,0.4151147722244263,0.9112
ElasticOptim,0.1,1.0,0.4380094460169474,0.42164764313697817,0.9069
ElasticOptim,0.1,5.0,0.43144131306012473,0.41409054136276247,0.9102
ElasticOptim,0.1,10.0,0.4266900442759196,0.4108006359577179,0.9092
ElasticOptim,0.5,0.1,0.28448551335334776,0.27510081121921537,0.9238
ElasticOptim,0.5,1.0,0.285042688147227,0.275405987405777,0.923
ElasticOptim,0.5,5.0,0.28766151684125263,0.2780180807828903,0.9226
ElasticOptim,0.5,10.0,0.2940383664369583,0.2839404201745987,0.9193
ElasticOptim,0.9,0.1,0.27852810277938844,0.2704368724346161,0.9247
ElasticOptim,0.9,1.0,0.27328796514670056,0.2647123154401779,0.9254
ElasticOptim,0.9,5.0,0.2799568586031596,0.2721097356557846,0.9245
ElasticOptim,0.9,10.0,0.28455278197924294,0.27588855061531065,0.9229
